name,fbg1_harmonic0_mag,fbg1_harmonic0_pahse,fbg1_harmonic1_mag,fbg1_harmonic1_pahse,fbg1_harmonic2_mag,fbg1_harmonic2_pahse,fbg2_harmonic0_mag,fbg2_harmonic0_pahse,fbg2_harmonic1_mag,fbg2_harmonic1_pahse,fbg2_harmonic2_mag,fbg2_harmonic2_pahse,resonant_wl,resonant_wl_power
spectrum1,1.461467169070217e-17,0.0,6.885580919068789e-18,90.0,1.953366664399745e-18,180.0,5.15309571625443e-16,0.0,1.125593615920026e-17,-90.0,3.212208764633209e-18,0.0,1.5382758841957747e-06,-54.68636050587203
spectrum10,4.591552145994904e-16,0.0,1.2801921021272337e-17,90.0,3.3353321166122425e-18,180.0,6.39575289754444e-17,0.0,2.3417765484057555e-17,-90.0,1.916364031632246e-18,180.0,1.5456928841944088e-06,-57.09622408012876
spectrum167,5.036652520807499e-16,0.0,2.6733076493172635e-18,90.0,4.872277816310447e-18,180.0,5.129626854574099e-16,0.0,2.076486575348555e-18,90.0,1.862065359181798e-18,0.0,1.517106884199673e-06,-48.956897714586866
spectrum1691,2.5146954219572153e-17,0.0,4.076478804824548e-18,90.0,9.468737869297322e-19,180.0,3.1689842025895525e-16,0.0,1.7614427369654817e-17,-90.0,1.4590664853445043e-18,0.0,1.538827384195673e-06,-47.6595606841111
spectrum1721,5.228705133416243e-16,0.0,1.1757416950267694e-18,-90.0,5.072003998764659e-18,180.0,4.937392240180147e-16,0.0,1.1462096090665806e-17,90.0,1.999917957886931e-18,0.0,1.5657553841907142e-06,-50.74905411481292
spectrum19,5.288054832350305e-16,0.0,2.2289148187717415e-18,-90.0,5.1905034326891476e-18,180.0,5.80599811280824e-16,0.0,5.49416411538926e-18,90.0,2.14137133664252e-18,0.0,1.5792673841882259e-06,-65.15408864966129
spectrum28,5.168469922379933e-16,0.0,4.243386120499392e-19,90.0,4.654081195645848e-18,180.0,3.614731145633708e-17,0.0,1.6997177887333418e-17,90.0,2.430063025105377e-18,180.0,1.5487808841938401e-06,-57.524480607834604
spectrum6,5.192250719076387e-16,0.0,4.383420124274028e-19,-90.0,5.150504031407395e-18,180.0,5.770230628858629e-16,0.0,4.299206134869776e-18,90.0,2.2053076298784345e-18,0.0,1.5150223842000569e-06,-45.82302241353616
spectrum790,4.797554981006192e-16,0.0,9.119808927953906e-19,90.0,4.886172802419162e-18,180.0,5.452456467365203e-16,0.0,3.55471973029864e-18,90.0,2.1536219264241504e-18,0.0,1.5140263842002403e-06,-49.543742705418964
