name,max_power,resonant_wl,resonant_wl_power
spectrum0001,-11.351636965330188,1.5382759999911097e-06,-33.68625131935071
spectrum0006,-11.343511842145412,1.515022499995392e-06,-22.906694474079778
spectrum0010,-11.457173925223453,1.5456929999897438e-06,-36.389872628663916
spectrum0019,-11.335680755722349,1.579266999983561e-06,-43.53203887795576
spectrum0028,-11.406546493745822,1.5487809999891751e-06,-36.905370095022036
spectrum0167,-11.508658693912302,1.517107499995008e-06,-26.266538272864192
spectrum0790,-11.50860018190207,1.5140264999955753e-06,-26.515297794914467
spectrum1691,-11.478939179753429,1.5390839999909609e-06,-26.70595422255885
spectrum1721,-11.534916633328063,1.5657549999860493e-06,-29.880422108862042
